precision|recall|thresholds
0.5000200827408925|1.0|0.3827474833235986
0.50090661831369|0.9763836452727127|0.4080833081796344
0.503004146568503|0.9549361394489517|0.41293677426356307
0.5049560907747153|0.933006667202185|0.4172361960881003
0.5077108756872737|0.9123624387501004|0.4202996151544736
0.5088558678750518|0.8885051008113102|0.4219287851001732
0.5106846718787017|0.8657723511928669|0.4232108067615023
0.5126752307917746|0.8431199293115913|0.4245201914298378
0.5157746194940026|0.8220740621736685|0.42585120052144254
0.5208224882873503|0.8036790103622781|0.4272251272527935
0.5266444181289698|0.7859265804482288|0.4284773186869803
0.5352144469525959|0.7618282592979356|0.4299615539906919
0.5421031072619814|0.7441561571210539|0.4311946457452957
0.547973506714468|0.7243955337778135|0.4325474881640542
0.5534281200631912|0.703510322114226|0.4341540134985078
0.5590732574211809|0.6823037995019681|0.43577570431281715
0.5668566719318728|0.6630251425817335|0.43775627321985816
0.5755617775863306|0.6439874688730018|0.440471167858075
0.5828382341881627|0.6225399630492409|0.44400085153890223
0.5908085912823753|0.6010121294883123|0.44986209915811476
0.5955289620211086|0.5756285645433368|0.4607106323024952
0.6020175438596491|0.5512892601815407|0.47271001649583705
0.6060549777117384|0.5242188127560446|0.48189439554048874
0.613320177602368|0.49931721423407505|0.4901814621694352
0.6216585981898548|0.47449594344927304|0.49729665229532755
0.6320180383314543|0.4503172945618122|0.5050405375853038
0.6395532354012383|0.4231665193991485|0.5124433272201415
0.6471593897948448|0.3952927946019761|0.5201925057408645
0.6542820255343567|0.36637480922162424|0.5279827344494824
0.6616695597285782|0.33681420194393125|0.5366629161072657
0.6723956506488952|0.30797654430074706|0.5456015829309636
0.6875123298480963|0.27994216402923927|0.5552277292594121
0.7035867358448004|0.2505422122258816|0.5664644083492759
0.7213891081294396|0.2202586553136798|0.5807868890004241
0.7447883765003158|0.18941280424130452|0.5945041095385322
0.7756714060031595|0.15776367579725278|0.6163582797450871
0.8190426091530774|0.1250702867700217|0.6494327345469381
0.8799368088467614|0.0894850992047554|0.7037871323888611
0.9353312302839116|0.04763434814041288|0.8285259878825408
1.0|8.032773716764399e-05|0.9968812258245193
