fpr|tpr|thresholds
0.0|0.0|1.5011423
0.0|0.00040163868583821993|0.5011422
0.0|0.0005622941601735079|0.5011394
0.0|0.0007229496345087958|0.5011388
0.0|0.0016868824805205238|0.5011288
0.0|0.0020081934291911|0.5011279
0.0|0.0023295043778616756|0.5011255
0.0|0.0024901598521969636|0.5011252
0.0|0.0025704875893646077|0.5011249
0.0|0.0027311430636998957|0.501124
0.0|0.0029721262752028274|0.5011236
0.0|0.0031327817495381154|0.5011235
0.0|0.0036147481725439796|0.50112015
8.032773716764399e-05|0.0036147481725439796|0.50112
8.032773716764399e-05|0.003936059121214555|0.5011172
0.00016065547433528798|0.003936059121214555|0.5011165
0.00016065547433528798|0.004498353281388063|0.5011144
0.00024098321150293196|0.004498353281388063|0.50111437
0.00024098321150293196|0.006345891236243875|0.5010972
0.00024098321150293196|0.0065065467105791626|0.50109696
0.00024098321150293196|0.006586874447746807|0.5010962
0.00024098321150293196|0.006827857659249739|0.501094
0.00024098321150293196|0.007791790505261467|0.5010883
0.00024098321150293196|0.007952445979596755|0.5010882
0.00024098321150293196|0.008113101453932042|0.5010879
0.00024098321150293196|0.008434412402602618|0.5010851
0.00024098321150293196|0.008755723351273195|0.50108343
0.00024098321150293196|0.008916378825608483|0.501083
0.00024098321150293196|0.009398345248614347|0.5010765
0.00024098321150293196|0.009559000722949634|0.5010755
0.00024098321150293196|0.009639328460117278|0.50107497
0.00032131094867057596|0.009639328460117278|0.50107485
0.00032131094867057596|0.009960639408787855|0.5010736
0.00032131094867057596|0.010121294883123142|0.5010735
0.00032131094867057596|0.011406538677805446|0.5010668
0.00032131094867057596|0.011567194152140733|0.5010665
0.00032131094867057596|0.012852437946823038|0.5010603
0.00032131094867057596|0.013013093421158325|0.50105876
0.00032131094867057596|0.014218009478672985|0.5010518
0.00032131094867057596|0.014378664953008274|0.50105107
0.00032131094867057596|0.016868824805205237|0.50103414
0.00032131094867057596|0.017029480279540526|0.5010341
0.00032131094867057596|0.017591774439714034|0.5010284
0.00032131094867057596|0.017752429914049322|0.50102836
0.00032131094867057596|0.018636035022893405|0.5010232
0.00032131094867057596|0.018796690497228694|0.5010218
0.00032131094867057596|0.019118001445899268|0.5010206
0.00040163868583821993|0.019118001445899268|0.50101984
0.00040163868583821993|0.020242589766246284|0.5010115
0.00040163868583821993|0.020403245240581572|0.501011
0.00040163868583821993|0.02080488392641979|0.5010091
0.0004819664230058639|0.02080488392641979|0.5010083
0.0004819664230058639|0.0213671780865933|0.501005
0.0004819664230058639|0.021527833560928588|0.5010049
0.0004819664230058639|0.022411438669772674|0.50099874
0.0005622941601735079|0.022411438669772674|0.5009985
0.0005622941601735079|0.022813077355610892|0.5009968
0.0005622941601735079|0.02297373282994618|0.50099665
0.0005622941601735079|0.023937665675957908|0.5009862
0.0005622941601735079|0.024098321150293197|0.50098604
0.0005622941601735079|0.02458028757329906|0.5009789
0.0005622941601735079|0.025062253996304924|0.50097775
0.0007229496345087958|0.025062253996304924|0.5009764
0.0007229496345087958|0.025303237207807857|0.50097585
0.0008032773716764399|0.025303237207807857|0.5009756
0.0008032773716764399|0.025544220419310787|0.50097406
0.0008836051088440839|0.025544220419310787|0.50097376
0.0008836051088440839|0.02594585910514901|0.50097054
0.0008836051088440839|0.026106514579484295|0.50096995
0.0009639328460117278|0.026106514579484295|0.500968
0.0009639328460117278|0.026427825528154873|0.5009663
0.0009639328460117278|0.02658848100249016|0.5009651
0.0010442605831793717|0.02658848100249016|0.5009641
0.0010442605831793717|0.028516346694513615|0.5009486
0.0010442605831793717|0.028677002168848904|0.5009482
0.0012852437946823038|0.028677002168848904|0.5009457
0.0012852437946823038|0.029881918226363564|0.5009378
0.0012852437946823038|0.030042573700698853|0.50093776
0.0012852437946823038|0.03148847296971644|0.50092876
0.0012852437946823038|0.03164912844405173|0.5009274
0.0012852437946823038|0.03180978391838702|0.50092614
0.0012852437946823038|0.03197043939272231|0.5009261
0.0012852437946823038|0.03285404450156639|0.5009185
0.0012852437946823038|0.03317535545023697|0.5009177
0.0012852437946823038|0.033416338661739896|0.50091594
0.0012852437946823038|0.033576994136075185|0.50091577
0.0013655715318499479|0.033576994136075185|0.5009157
0.0013655715318499479|0.034460599244919274|0.5009047
0.0014458992690175917|0.034460599244919274|0.5009044
0.0014458992690175917|0.03526387661659571|0.50090194
0.0015262270061852357|0.03526387661659571|0.50090086
0.0015262270061852357|0.03630813719977508|0.5008937
0.0015262270061852357|0.03662944814844566|0.50089324
0.0015262270061852357|0.036709775885613305|0.5008931
