precision|recall|thresholds
0.5001004298397139|1.0|0.0002081852
0.5105128627968337|0.9946983693469355|0.008746992
0.5209162503175544|0.988272150373524|0.022589132
0.5297854749575737|0.9779902000160655|0.04259133
0.5377763852833229|0.9651377620692425|0.066206805
0.5439089568743088|0.9482689372640373|0.09217182
0.5499121849337827|0.9305968350871556|0.11938732
0.5564910906598786|0.9131657161217769|0.14955978
0.5617483577564426|0.8930034540926982|0.17924798
0.5680346700083542|0.873885452646799|0.20910786
0.5743531572408578|0.8541248293035585|0.24165882
0.579883642873126|0.8326773234797976|0.2718403
0.5844645550527904|0.8093019519640132|0.30103636
0.5906024096385543|0.7875331351915816|0.33162975
0.5954514128187457|0.7634348140412884|0.3588031
0.600535143248711|0.7391758374166599|0.3869482
0.604725588996323|0.7133906337858462|0.4120874
0.6107630979498861|0.6892119848983854|0.43965364
0.6158836689038031|0.6634267812675717|0.46495157
0.6218290009395553|0.6379628885854286|0.4907007
0.6282347123784408|0.6123383404289501|0.5151225
0.6338726513569938|0.5853482207406218|0.5400636
0.6421993000552588|0.5601253112699816|0.5634768
0.6495400274026228|0.5331351915816531|0.5867932
0.6565762004175365|0.5052614667844807|0.61089146
0.6610377991500783|0.4748172543979436|0.6333845
0.6677504816955684|0.4454173025945859|0.6558425
0.6738846856248369|0.41497309020804884|0.67752844
0.6832218585456098|0.3856534661418588|0.7013968
0.6936922836124589|0.35601253112699816|0.7232963
0.7043478260869566|0.32532733552895815|0.7454398
0.7161025239679123|0.293999518033577|0.7682978
0.7338998211091234|0.2636356333842076|0.7915832
0.7505870075658753|0.23110289983131174|0.81658846
0.7675219023779725|0.1970439392722307|0.84168726
0.7924159499609069|0.16282432323881435|0.86657876
0.8229166666666666|0.1269178247248775|0.8933933
0.8670836591086787|0.08908346051891718|0.9241986
0.9139280125195618|0.04691139850590409|0.95594656
1.0|8.032773716764399e-05|0.99920005
