precision|recall|thresholds
0.09091440214414559|1.0|0.49952784
0.09101711200921246|0.9967868905132943|0.49966562
0.09135347798435166|0.9922885372319061|0.4996956
0.0918004234170658|0.9822475700859506|0.49972168
0.09252756730117662|0.9652180898064101|0.49974602
0.09410732822093294|0.9394328861755964|0.49977016
0.09631465386515083|0.8928427986183629|0.49979427
0.09980795083541387|0.8349265001204916|0.49981838
0.10449581341666576|0.7709052935978793|0.49984252
0.11022310188026907|0.7068037593380995|0.49986663
0.11616846835018309|0.6396497710659491|0.49989077
0.1232366339819472|0.5845449433689452|0.49991488
0.13190673906100286|0.5308056872037915|0.49993902
0.1389801521220577|0.49610410474736927|0.49996322
0.14417943216406368|0.4642139930918146|0.49998742
0.15015147342329938|0.43794682303799504|0.5000116
0.15677484724738247|0.4101534259779902|0.50003576
0.16504921910327316|0.3811551128604707|0.5000599
0.17248476213092695|0.3500682785765925|0.50008404
0.18092732056982125|0.3203470158245642|0.5001082
0.18987999376590992|0.2935978793477388|0.5001324
0.19833206084454102|0.27126676841513375|0.5001566
0.20893333333333333|0.25174712828339624|0.5001809
0.21829867674858222|0.2319061772029882|0.5002054
0.23207611281005777|0.21945537794200337|0.50023013
0.2416849328123511|0.20371114145714514|0.5002557
0.2543346337234504|0.18852919913246044|0.50028235
0.2681318681318681|0.1763997108201462|0.50030965
0.28296131983917927|0.1639489115591614|0.5003369
0.3036184210526316|0.1482850028114708|0.50036365
0.33008383700526417|0.13599485902482128|0.5003928
0.35920281359906214|0.12306209334083058|0.5004221
0.391304347826087|0.11133424371435456|0.5004568
0.42570554233253993|0.10057032693389027|0.5004973
0.46370121695342004|0.08876214957024661|0.5005461
0.5099623047926763|0.07607036709775886|0.50061405
0.5762463343108505|0.06313760141376817|0.5006974
0.6434977578475336|0.04610812113422765|0.5008154
0.7738359201773836|0.02803438027150775|0.5009589
1.0|0.00024098321150293196|0.5011422
